year,county_code,district_code,school_code,county_name,district_name,school_name,district_type,school_type,ed_option_type,nslp_status,charter,charter_num,charter_funding,irc,low_grade,high_grade,total_enrollment,frpm,foster,tribal_foster_youth,homeless,migrant_program,direct_certification,unduplicated_frpm_eligible_count,english_learner,calpads_upc_count,calpads_fall1_cert,charter_dummy,school_type_num,ed_option_type_num,nslp_status_num,charter_funding_num,irc_num,low_grade_num,high_grade_num,calpads_fall1_cert_num,cds
23,19,64345,0000000,Los Angeles,Castaic Union,,Elementary School District,,,,,,,,,,1893,828,18,0,15,0,442,944,222,974,Y,,,,,,,,,1,19643450000000
23,19,64352,0128488,Los Angeles,Centinela Valley Union High,Family First Charter,High School District,High Schools (Public),Traditional,,Yes,1558,Directly funded,Y,9,12,461,0,0,0,0,0,26,26,256,278,Y,1,7,10,,1,1,9,12,1,19643520128488
23,19,64352,0128496,Los Angeles,Centinela Valley Union High,New Opportunities Charter,High School District,High Schools (Public),Traditional,,Yes,1557,Directly funded,Y,9,12,348,0,1,0,0,0,15,15,102,113,Y,1,7,10,,1,1,9,12,1,19643520128496
23,19,64352,0000000,Los Angeles,Centinela Valley Union High,,High School District,,,,,,,,,,5898,4255,26,0,153,0,2882,4335,1113,4659,Y,,,,,,,,,1,19643520000000
23,19,64378,0000000,Los Angeles,Charter Oak Unified,,Unified School District,,,,,,,,,,4270,2805,39,0,348,0,1613,2825,372,2843,Y,,,,,,,,,1,19643780000000
23,19,64394,0000000,Los Angeles,Claremont Unified,,Unified School District,,,,,,,,,,6385,2071,23,0,181,0,1331,2145,354,2275,Y,,,,,,,,,1,19643940000000
23,19,64436,0000000,Los Angeles,Covina-Valley Unified,,Unified School District,,,,,,,,,,11097,7528,79,0,160,0,4302,7545,1135,7737,Y,,,,,,,,,1,19644360000000
23,19,64444,0000000,Los Angeles,Culver City Unified,,Unified School District,,,,,,,,,,6826,2404,10,0,123,0,1288,2540,670,2803,Y,,,,,,,,,1,19644440000000
23,19,64451,0000000,Los Angeles,Downey Unified,,Unified School District,,,,,,,,,,22340,15638,119,0,93,0,7704,15680,3248,16319,Y,,,,,,,,,1,19644510000000
23,19,64469,0134858,Los Angeles,Duarte Unified,California School of the Arts - San Gabriel Valley,Unified School District,High Schools (Public),Traditional,,Yes,1838,Directly funded,Y,9,12,945,182,0,0,3,0,145,191,9,196,Y,1,7,10,,1,1,9,12,1,19644690134858
